MOLECULE_NAME,y_actual,y_pred,residual,leverage,std_residual,residual_flag,leverage_flag,note
302-434-05,3.34,3.6482399,-0.30823990000000023,0.9991823385118505,-1.2906196830927499,,leverage,leverage
302-555-02,5.73,4.6595316,1.0704684000000002,0.19247648210154017,3.1699059407659607,std_residual,,std_residual
305-719-01,1.82,1.7968497,0.023150299999999957,0.999182338511865,-0.21847521381258148,,leverage,leverage
306-091-01,2.9,2.825394,0.07460599999999973,0.9991823385118539,-0.05200093615458409,,leverage,leverage
306-093-01,3.51,3.138389,0.3716109999999997,0.9991823385118532,0.9088973284849743,,leverage,leverage
306-241-01,-0.34,-0.2990455,-0.040954500000000005,0.7508733157665576,-0.4258730390177664,,leverage,leverage
306-248-01,2.91,2.8223758,0.08762420000000004,0.9991823385118548,-0.009883241877615688,,leverage,leverage
306-656-01,0.88,0.9162465,-0.03624649999999996,0.9991823385118542,-0.41064127850894305,,leverage,leverage
307-011-03,2.23,3.2754283,-1.0454283000000002,0.15491266934927295,-3.675640320026177,std_residual,,std_residual
307-045-01,1.9,3.6563656,-1.7563656,0.1202145148535323,-5.975730950950011,std_residual,,std_residual
307-109-06,2.33,2.470394,-0.14039400000000013,0.9991823385118507,-0.7475889797818125,,leverage,leverage
307-167-04,1.54,1.2860132,0.25398680000000007,0.9991823385118519,0.5283485509909388,,leverage,leverage
307-215-01,5.21,4.057214,1.1527859999999999,0.13970792000720916,3.4362275144407914,std_residual,,std_residual
307-903-02,2.11,1.9371338,0.17286619999999986,0.7416552287089841,0.265899623307836,,leverage,leverage
307-911-OE,2.35,2.4528975,-0.10289750000000009,0.7416552287089839,-0.6262768073266105,,leverage,leverage
307-912-09,1.41,1.6036339,-0.19363390000000003,0.999182338511852,-0.9198356676139484,,leverage,leverage
414-034-01,2.83,2.9516256,-0.12162559999999978,0.8278190862334891,-0.686867702395703,,leverage,leverage
414-071-03,4.34,3.1293097,1.2106903,0.21142527961281768,3.62356490399709,std_residual,,std_residual
504-012-02,0.6,1.7190137,-1.1190137,0.38477585404908937,-3.913710666191419,std_residual,,std_residual
504-094-01,1.26,1.2141435,0.04585649999999997,0.999182338511852,-0.14501399876044851,,leverage,leverage
504-140-47,-0.24,1.366435,-1.606435,0.134468634602645,-5.490661496373933,std_residual,,std_residual
504-267-01,1.55,1.5010736,0.048926400000000037,0.9991823385118561,-0.1350819720854193,,leverage,leverage
504-298-04,2.24,2.2689645,-0.028964499999999838,0.8371343543461904,-0.38708187323594967,,leverage,leverage
504-300-01,0.37,1.2377877,-0.8677876999999999,0.1552980766808687,-3.1009208901528416,std_residual,,std_residual
504-308-01,1.49,2.384462,-0.8944620000000001,0.15466045847294874,-3.1872200722557524,std_residual,,std_residual
504-354-01,1.76,1.8075454,-0.04754539999999996,0.9991823385118533,-0.4471965331421509,,leverage,leverage
504-362-01,2.36,1.0477626,1.3122373999999999,0.11287133844123398,3.9520995487646178,std_residual,,std_residual
601-802-01,2.11,2.2828379,-0.1728379000000002,0.7508733157665525,-0.852554509682452,,leverage,leverage
601-803-01,2.2,2.2868257,-0.0868256999999999,0.9991823385118612,-0.5742798216542002,,leverage,leverage
601-810-01,2.55,2.727711,-0.1777110000000004,0.8448447135328523,-0.8683204171029171,,leverage,leverage
AGH-039-01,3.27,2.250996,1.0190039999999998,0.1153303140510529,3.0034035160568933,std_residual,,std_residual
AGH-075-02,1.4,2.5504267,-1.1504267000000001,0.08338129241624878,-4.015340932305197,std_residual,,std_residual
AGH-079-02,3.97,2.6720417,1.2979583000000003,0.10176781643666935,3.90590247325877,std_residual,,std_residual
AGH-117-01,0.99,1.9510496,-0.9610496,0.25414804636716326,-3.4026504834828795,std_residual,,std_residual
AGH-137-02,3.86,2.568113,1.291887,0.08113369720172267,3.8862600374947043,std_residual,,std_residual
AGH-179-02,3.52,2.479139,1.040861,0.37760624639954316,3.0741173201013607,std_residual,,std_residual
AGH-188-01,4.04,3.8389075,0.20109250000000012,0.9991823385118548,0.3572199804977682,,leverage,leverage
AGH-282-01,2.18,1.0620223,1.1179777000000002,0.036685522598918774,3.323612457236189,std_residual,,std_residual
AGH-494-01,-0.03,1.0210075,-1.0510075,0.03986870229798958,-3.6936906679936423,std_residual,,std_residual
CPBB-169-01,5.12,4.8833113,0.2366887000000002,0.999182338511856,0.47238412523527334,,leverage,leverage
